Rank,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs,2026-04-28 After Poules,2026-04-28 After DEs,2026-05-05 After Poules,2026-05-05 After DEs
36,,,,,Alberto (1711.8),Flavia (1683.2) (-71.5),Pablo (1721.3) (-4.1),Lucas H (1694.1) (-28.6),Pablo (1716.7) (+44.6),Pablo (1700.7) (-16.0),Colin R (1720.8) (-23.6),Maiya (1730.4) (-36.4),Lukas N (1744.9) (-36.0),Maiya (1730.4),Colin R (1737.2),Giulia (1736.3),Giles (1745.4),Giulia (1736.3),Luka (1757.5),Giulia (1736.3),Luka (1757.5),Eugene (1759.2) (-18.8),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Giles (1765.4),Eugene (1768.7) (+9.5),Etienne (1767.1),Richard B (1769.1) (+60.0),Tom (1768.9) (-88.3),Alonzo (1773.8),Etienne (1767.1),Will P (1764.8) (-16.1),Martin H (1761.9),Joshua (1783.0),Steffi (1779.0),Steph (1784.2) (+43.0),Joshua (1783.0),Adrian (1790.9),Enrik (1787.3),Pablo (1795.7),Pablo (1795.7),Julia T (1795.8),Jonathan (1791.6),Julia T (1795.8),Adrian (1809.2) (+0.7),Will P (1822.7) (-0.9),Colin R (1819.6),Lukas N (1831.4) (-66.3),Colin R (1819.6),Julia T (1822.7) (+27.0),Lukas N (1821.8) (-25.5),Richard B (1822.6),Adam S (1822.1),Richard B (1822.6),Richard B (1822.6),Adam S (1822.1),Julia T (1822.7),Julia T (1822.7),Adam S (1822.1),Julia T (1822.7),Colin R (1831.7) (+34.9),Colin R (1831.7),Aisling (1832.0),Aisling (1832.0),Aisling (1832.0),Martin H (1832.1),Adam S (1822.1),Adam S (1822.1),Adam S (1822.1),Colin R (1837.1) (+18.3),James S (1826.7) (-11.2),Adam S (1819.8) (-2.3),Martin H (1832.1),Martin H (1832.1),Martin H (1832.1),Alessandro (1837.6),Alessandro (1837.6),Benjamin (1841.8),Alessandro (1837.6),Anna A (1854.6) (+29.4),Patrick (1855.4),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9),Amaury (1860.9)
37,,,,,Lucas (1707.6) (+17.7),Andy R (1680.6) (+6.4),Marg (1698.1) (-26.8),Andy R (1680.6),Alberto (1712.4),Marg (1698.4),Martin H (1715.6),Pablo (1729.9) (+44.6),Colin R (1737.2),Lukas N (1723.4) (-21.5),Giulia (1736.3),Maiya (1730.4),Pablo (1744.0) (+40.1),Eugene (1736.1) (-42.8),Giles (1745.4),Eugene (1736.1),Giles (1747.5) (+2.1),Luka (1757.5),Eugene (1759.2),Eugene (1759.2),Etienne (1761.2) (-18.5),Jonathan (1765.0),Etienne (1767.1),Giles (1765.4),Etienne (1767.1),Etienne (1767.1),Tom (1769.4) (+0.6),Patrick L (1762.6),Patrick L (1762.6),Alonzo (1758.2) (+14.1),Steffi (1779.0),Miriam (1775.5),Joshua (1783.0),Rakan (1779.8) (+94.7),Enrik (1787.3),Joshua (1783.0),Enrik (1787.3),Jonathan (1791.6) (-50.7),Pablo (1795.7),Enrik (1787.3),Pablo (1795.7),Anna A (1799.1) (-62.8),Colin R (1819.6),Mark M (1814.3),Colin R (1819.6),Mark M (1814.3),Will P (1821.8) (-21.9),Will W (1820.5) (+75.4),Adam S (1822.1) (+15.1),Will P (1820.4),Adam S (1822.1),Adam S (1822.1),Lukas N (1815.4) (+25.5),Adam S (1822.1),Adam S (1822.1),Miriam (1819.0) (+59.8),Adam S (1822.1),Julia T (1822.7),Adam S (1822.1),Colin R (1831.7),Colin R (1831.7),Colin R (1831.7),Aisling (1832.0),Miriam (1819.0),Miriam (1819.0),Miriam (1819.0),Martin H (1832.1),Adam S (1822.1),Miriam (1819.0),Adam S (1819.8),Anna A (1829.7) (+24.6),Anna A (1828.6) (-1.1),Martin H (1832.1),Martin H (1832.1),Lukas N (1841.7) (+54.9),Benjamin (1832.4) (-9.4),Alessandro (1837.6),Richard B (1848.2) (+33.1),Patrick (1855.4),John H (1857.0) (-16.1),John H (1857.0),John H (1857.0)
38,,,,,Andy R (1674.2) (-18.0),Chrissy (1670.5),Andy R (1680.6),Pablo (1672.1) (-49.2),Marg (1698.4) (+0.3),Lance (1696.4) (-58.2),Alberto (1712.4),Martin H (1715.6),Giulia (1736.3),Martin H (1717.4) (+25.1),Maiya (1730.4),Martin H (1717.4),Giulia (1736.3),Maiya (1730.4),Giulia (1736.3),Richard B (1733.9) (-53.7),Giulia (1736.3),Giulia (1736.3),Luka (1757.5),Luka (1757.5),Eugene (1759.2),Patrick L (1762.6),Giles (1765.4),Patrick L (1762.6),Giles (1766.5) (+1.1),Patrick L (1762.6),Etienne (1767.1),Martin H (1761.9),Martin H (1761.9),Luka (1757.5),Alonzo (1777.6) (+19.3),Etienne (1774.5) (+0.5),Colin R (1780.9) (+35.3),Steffi (1779.0),Joshua (1783.0),Rakan (1779.8),Martin H (1784.2) (+22.2),Enrik (1787.3),Richard B (1791.9) (-8.3),Joshua (1783.0),Lukas N (1794.1) (+28.2),Julia T (1795.8),Mark M (1814.3),Adrian (1809.2),Mark M (1814.3),Tom S (1810.7) (-52.9),Mark M (1814.3),Will P (1820.4) (-1.4),Will P (1820.4),Mark M (1814.3),Mark M (1814.3),Mark M (1814.3),Mark M (1814.3),Lukas N (1818.5) (+3.1),Lukas N (1818.5),Lukas N (1818.5),Miriam (1819.0),Adam S (1822.1),Miriam (1819.0),Adam S (1822.1),Oleg (1825.6),Richard B (1822.7) (+10.0),Adam S (1822.1),Colin R (1816.0) (-5.0),Mark M (1814.3),Colin R (1818.8) (+24.6),Adam S (1822.1),Miriam (1819.0),Mark M (1814.3),Miriam (1819.0),Adam S (1819.8),Adam S (1819.8),Anna A (1828.6),Anna A (1828.6),Alessandro (1837.6),Martin H (1832.1),Benjamin (1832.4),Alessandro (1837.6),Richard B (1848.2),Lukas N (1855.6) (-58.9),Lukas N (1855.6),Lukas N (1855.6)
39,,,,,Chrissy (1670.5) (-50.5),Lucas (1662.7) (-45.0),Flavia (1674.5) (-8.7),Chrissy (1670.5),Lucas H (1694.1),Lucas H (1694.1),Marg (1708.0) (+9.6),Alberto (1712.4),Maiya (1730.4),Marg (1716.1),Martin H (1717.4),Megan (1714.7) (-70.2),Maiya (1730.4),Martin H (1717.4),Eugene (1736.1),Tom (1721.0) (-47.0),Richard B (1733.9),Richard B (1733.9),Giulia (1736.3),Giulia (1736.3),Colin R (1757.8) (-5.8),Eugene (1759.2),Patrick L (1762.6),Luka (1757.5),Patrick L (1762.6),Martin H (1761.9) (+23.3),Patrick L (1762.6),Luka (1757.5),Steph (1761.9) (-13.5),Pablo (1748.0),Miriam (1775.5),Patrick L (1762.6),Steffi (1779.0),Etienne (1774.5),Rakan (1779.8),Steffi (1779.0),Joshua (1783.0),Joshua (1783.0),Jonathan (1791.6),Rakan (1779.8),Colin R (1790.0) (+13.4),Pablo (1795.7),Adrian (1809.2),Nicholas (1805.8) (-0.9),Adrian (1809.2),Adrian (1809.2),Tom S (1810.7),Mark M (1814.3),Mark M (1814.3),Will W (1813.5) (-43.2),Will W (1813.5),Will W (1813.5),Will W (1813.5),Mark M (1814.3),Mark M (1814.3),Mark M (1814.3),Mark M (1814.3),Miriam (1819.0),Mark M (1814.3),Miriam (1819.0),Adam S (1822.1),Adam S (1822.1),Colin R (1821.0) (-10.8),Mark M (1814.3),Will W (1813.5),Mark M (1814.3),Miriam (1819.0),Mark M (1814.3),Will W (1813.5),Mark M (1814.3),Miriam (1819.0),Miriam (1819.0),Miriam (1819.0),Adam S (1819.3) (-30.8),Steph (1835.4) (-3.5),Steph (1831.6) (-3.8),Martin H (1832.1),Benjamin (1832.4),Alessandro (1837.6),Patrick (1855.4),Patrick (1855.4),Patrick (1855.4)
40,,,,,Nat (1628.7) (-13.2),Nat (1581.7) (-46.9),Chrissy (1670.5),Lucas (1662.7),Andy R (1680.6),Andy R (1680.6),Chrissy (1701.4) (+30.9),Chrissy (1701.4),Marg (1716.1) (+47.0),Alberto (1712.4),Alberto (1712.4),Alberto (1712.4),Martin H (1717.4),Megan (1714.7),Martin H (1717.4),Martin H (1717.4),Martin H (1717.4),Martin H (1717.4),Richard B (1733.9),Richard B (1733.9),Luka (1757.5),Luka (1757.5),Luka (1757.5),Giulia (1736.3),Luka (1757.5),Luka (1757.5),Martin H (1761.9),Pablo (1748.0) (+3.1),Luka (1757.5),Colin R (1745.6) (-67.1),Etienne (1774.0) (+6.8),Martin H (1761.9),Etienne (1774.5),Miriam (1772.3),Steph (1779.5) (+40.9),Etienne (1774.5),Rakan (1779.8),Rakan (1779.8),Enrik (1787.3),Steffi (1779.0),Enrik (1787.3),Jonathan (1787.5) (-54.7),Nicholas (1806.7),Nick (1797.6),Adam S (1807.0) (-20.2),Adam S (1807.0),Adrian (1809.2),Tom S (1810.7),Tom S (1810.7),Tom S (1810.7),Tom S (1810.7),Tom S (1810.7),Tom S (1810.7),Will W (1813.5),Will W (1813.5),Will W (1813.5),Will W (1813.5),Mark M (1814.3),Caden (1813.6) (+9.3),Mark M (1814.3),Miriam (1819.0),Miriam (1819.0),Miriam (1819.0),Will W (1813.5),Richard B (1811.6) (+7.4),Will W (1813.5),Mark M (1814.3),Will W (1813.5),Adrian (1809.2),Will W (1813.5),Mark M (1814.3),Mark M (1814.3),Max V (1814.8) (+79.3),Miriam (1819.0),Martin H (1832.1),Anna A (1825.2) (-19.3),Steph (1831.6),Martin H (1832.1),Steph (1834.2) (+2.6),Richard B (1848.2),Richard B (1850.7) (+2.5),Steph (1848.8) (-1.2)
41,,,,,,,Lucas (1662.7),Flavia (1623.6) (-50.9),Chrissy (1670.5),Chrissy (1670.5),Lance (1696.4),Lance (1696.4),Alberto (1712.4),Pablo (1703.9) (-7.7),Marg (1704.2) (-11.9),Marg (1704.2),Megan (1714.7),Alberto (1712.4),Megan (1714.7),Megan (1714.7),Megan (1714.7),Megan (1714.7),Martin H (1717.4),Martin H (1717.4),Richard B (1743.2) (+9.4),Giulia (1736.3),Giulia (1736.3),Jonathan (1718.4) (-57.8),Lukas N (1743.9) (-35.2),Giles (1740.5) (-26.0),Luka (1757.5),Eugene (1741.1) (-46.9),Eugene (1755.2) (+14.1),Steph (1741.3) (-20.7),Patrick L (1762.6),Luka (1757.5),Miriam (1772.3) (-3.2),Alix S (1763.5),Steffi (1779.0),Steph (1772.5) (-7.0),Steffi (1779.0),Steffi (1779.0),Lukas N (1783.9) (-19.0),Colin R (1776.7),Rakan (1779.8),Enrik (1787.3),Nick (1797.6),Anna A (1796.6) (-41.2),Nicholas (1805.8),Nicholas (1805.8),Adam S (1807.0),Adrian (1809.2),Adrian (1809.2),Adrian (1809.2),Adrian (1809.2),Adrian (1809.2),Adrian (1809.2),Tom S (1810.7),Anna Z (1809.3) (+0.9),Adrian (1809.2),Adrian (1809.2),Will W (1813.5),Will W (1813.5),Will W (1813.5),Mark M (1814.3),Mark M (1814.3),Mark M (1814.3),Adrian (1809.2),Adrian (1809.2),Adrian (1809.2),Will W (1813.5),Adrian (1809.2),Nicholas (1805.8),Adrian (1809.2),Will W (1813.5),Will W (1813.5),Mark M (1814.3),Mark M (1814.3),Richard B (1820.2) (+21.7),Adam S (1819.3),Adam S (1819.3),Steph (1831.6),Colin R (1832.5) (+36.1),Alessandro (1837.6),Steph (1850.0) (+19.4),Alessandro (1837.6)
42,,,,,,,Nat (1581.7),Nat (1581.7),Lucas (1662.7),Lucas (1662.7),Lucas H (1694.1),Lucas H (1694.1),Pablo (1711.6) (-18.3),Chrissy (1701.4),Pablo (1703.9),Pablo (1703.9),Alberto (1712.4),Chrissy (1701.4),Alberto (1712.4),Maiya (1714.6) (+18.4),Maiya (1714.6),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Giulia (1736.3),Richard B (1734.9) (-8.3),Martin H (1717.4),Martin H (1717.4),Martin H (1738.7) (+21.2),Giulia (1736.3),Lukas N (1753.4) (+31.6),Giles (1740.5),Pablo (1748.0),Giles (1740.5),Martin H (1761.9),Colin R (1745.6),Alix S (1763.5),Patrick L (1762.6),Etienne (1774.5),Richard B (1766.2) (-59.5),Richard B (1775.7) (+9.5),Colin R (1776.7) (+30.4),Joshua (1783.0),Shevy (1776.6),Steffi (1779.0),Rakan (1779.8),Julia T (1795.8),Julia T (1795.8),Anna Z (1805.4),Nick (1797.6),Nicholas (1805.8),Adam S (1807.0),Anna Z (1808.4) (-57.3),Anna Z (1808.4),Anna Z (1808.4),Anna Z (1808.4),Anna Z (1808.4),Adrian (1809.2),Adrian (1809.2),Nicholas (1805.8),Nicholas (1805.8),Adrian (1809.2),Anna A (1811.4) (+19.7),Caden (1812.3) (-1.3),Will W (1813.5),Will W (1813.5),Will W (1813.5),Nicholas (1805.8),Max V (1808.1),Nicholas (1805.8),Steph (1810.6) (+20.7),Nicholas (1805.8),Anna A (1805.1),Nicholas (1805.8),Adrian (1809.2),Adrian (1809.2),Will W (1813.5),Will W (1813.5),Adam S (1819.3),Miriam (1819.0),Miriam (1819.0),Max V (1822.7) (+72.6),Benjamin (1832.4),Benjamin (1832.4),Alessandro (1837.6),Benjamin (1832.4)
43,,,,,,,,,Flavia (1623.6),Flavia (1623.6),Pablo (1685.2) (-15.4),Andy R (1680.6),Chrissy (1701.4),Lance (1696.4),Chrissy (1701.4),Chrissy (1701.4),Chrissy (1701.4),Pablo (1698.2) (-45.8),Chrissy (1701.4),Alberto (1712.4),Alberto (1712.4),Alberto (1712.4),Maiya (1714.6),Maiya (1714.6),Martin H (1717.4),Martin H (1717.4),Megan (1714.7),Megan (1714.7),Giulia (1736.3),Lukas N (1721.8) (-22.1),Pablo (1744.9) (+46.6),Giulia (1736.3),Alonzo (1744.1) (-29.7),Will P (1739.1) (-25.6),Pablo (1759.1) (+11.1),Steph (1741.3),Patrick L (1762.6),Martin H (1761.9),Alix S (1763.5),Alix S (1763.5),Etienne (1774.5),Shevy (1776.6) (-75.8),Rakan (1779.8),Etienne (1774.5),Will P (1775.7) (+23.6),Steffi (1779.0),Pablo (1795.7),Pablo (1795.7),Nick (1797.6),Julia T (1795.8),Nick (1797.6),Nicholas (1805.8),Nicholas (1805.8),Nicholas (1805.8),Nicholas (1805.8),Nicholas (1805.8),Colin R (1806.4) (-21.2),Anna Z (1808.4),Colin R (1808.6) (+22.1),Adrian L (1801.9) (-26.4),Adrian L (1801.9),Nicholas (1805.8),Anna Z (1809.8) (+24.9),Adrian (1809.2),Richard B (1812.7) (-22.5),Anna A (1813.1) (-102.4),Will P (1812.2) (-37.9),Richard B (1804.2) (-50.4),Nicholas (1805.8),Adrian L (1801.9),Adrian (1809.2),Anna A (1805.1) (+8.5),Adrian L (1801.9),Anna A (1805.1),Nicholas (1805.8),Nicholas (1805.8),Adrian (1809.2),Adrian (1809.2),Miriam (1819.0),Mark M (1814.3),Richard B (1815.1) (+20.2),Adam S (1819.3),Martin H (1832.1),Martin H (1832.1),Benjamin (1832.4),Martin H (1832.1)
44,,,,,,,,,Nat (1581.7),Nat (1581.7),Andy R (1680.6),Marg (1669.1) (-38.9),Lance (1696.4),Marinko (1695.8) (-68.6),Marinko (1695.8),Marinko (1695.8),Marinko (1695.8),Marinko (1695.8),Pablo (1698.2),Chrissy (1701.4),Chrissy (1701.4),Chrissy (1701.4),Alberto (1712.4),Alberto (1712.4),Megan (1714.7),Megan (1714.7),Maiya (1714.6),Maiya (1714.6),Jonathan (1718.4),Jonathan (1718.4),Giles (1740.5),Lukas N (1732.9) (-20.5),Giles (1740.5),Giulia (1736.3),Luka (1757.5),Giles (1740.5),Martin H (1761.9),Luka (1757.5),Patrick L (1762.6),Patrick L (1762.6),Steph (1773.8) (+1.3),Etienne (1774.5),Steffi (1779.0),Miriam (1774.3),Etienne (1774.5),Caden (1779.0) (+56.4),Jonathan (1787.5),Jonathan (1787.5),Julia T (1795.8),Pablo (1795.7),Pablo (1795.7),Nick (1797.6),Nick (1797.6),Nick (1797.6),Nick (1797.6),Nick (1797.6),Nicholas (1805.8),Nicholas (1805.8),Nicholas (1805.8),Nick (1797.6),Nick (1797.6),Caden (1804.3) (+35.9),Adrian (1809.2),Nicholas (1805.8),Adrian (1809.2),Adrian (1809.2),Adrian (1809.2),Adrian L (1801.9),Adrian L (1801.9),Richard B (1800.2) (-11.4),Nicholas (1805.8),Adrian L (1801.9),Richard B (1798.4),Adrian L (1801.9),Adrian L (1801.9),Adrian L (1801.9),Nicholas (1805.8),Nicholas (1805.8),Mark M (1814.3),Will W (1813.5),Mark M (1814.3),Miriam (1819.0),Tom S (1831.1) (+53.5),Steph (1830.6) (-3.5),Martin H (1832.1),Richard B (1826.0) (-24.7)
45,,,,,,,,,,,Lucas (1662.7),Lucas (1662.7),Lucas H (1694.1),Perth (1695.1) (-74.5),Perth (1695.1),Perth (1695.1),Perth (1695.1),Perth (1695.1),Maiya (1696.2) (-34.1),Pablo (1698.2),Pablo (1698.2),Pablo (1698.2),Chrissy (1701.4),Chrissy (1701.4),Maiya (1714.6),Maiya (1714.6),Alberto (1712.4),Alberto (1712.4),Megan (1714.7),Megan (1714.7),Giulia (1736.3),Jonathan (1723.3),Giulia (1736.3),Eugene (1724.6) (-30.7),Colin R (1745.6),Will P (1739.1),Luka (1757.5),Colin R (1752.8) (-28.1),Martin H (1761.9),Martin H (1761.9),Will P (1763.7) (+42.6),Miriam (1774.3) (+47.7),Colin R (1776.7),Duncan (1773.8),Miriam (1774.3),Etienne (1774.5),Enrik (1787.3),Enrik (1787.3),Pablo (1795.7),Anna A (1791.0) (-58.9),Anna A (1791.0),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Caden (1797.3) (+16.7),Nick (1797.6),Nick (1797.6),Tom S (1802.5) (-8.2),Pablo (1795.7),Colin R (1796.8) (-25.7),Adrian L (1801.9),Nicholas (1805.8),Adrian L (1801.9),Nicholas (1805.8),Nicholas (1805.8),Nicholas (1805.8),Nick (1797.6),Nick (1797.6),Nick (1797.6),Adrian L (1801.9),Richard B (1798.4) (+9.3),Ed B (1797.6),Colin R (1801.4) (+15.9),Colin R (1801.4),Colin R (1801.4),Adrian L (1801.9),Adrian L (1801.9),Will W (1813.5),Adrian (1809.2),Will W (1813.5),Mark M (1814.3),Will P (1829.0) (+59.3),Miriam (1819.0),Tom S (1827.1) (+16.7),Miriam (1819.0)
46,,,,,,,,,,,Flavia (1622.1) (-1.5),Flavia (1605.5) (-16.6),Martin H (1692.3) (-23.3),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Marinko (1695.8),Marinko (1695.8),Marinko (1695.8),Marinko (1695.8),Pablo (1698.2),Pablo (1698.2),Alberto (1712.4),Alberto (1712.4),Richard B (1708.6) (-26.3),Richard B (1709.1) (+0.6),Maiya (1714.6),Maiya (1714.6),Jonathan (1723.3) (+4.9),Jana (1721.7),Jana (1721.7),Jana (1721.7),Steph (1741.3),Giulia (1736.3),Will P (1754.5) (+15.3),Giles (1740.5),Luka (1757.5),Luka (1757.5),Alix S (1763.5),Alix S (1763.5),Shevy (1776.6),Bowen (1772.8) (-39.2),Duncan (1773.8),Miriam (1774.3),Rakan (1779.8),Rakan (1779.8),Jonathan (1787.5),Jonathan (1787.5),Jonathan (1787.5),Anna A (1791.0),Miriam (1790.5) (+16.2),Lukas N (1790.0),Lukas N (1790.0),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Nick (1797.6),Anna A (1791.7) (-53.7),Pablo (1795.7),Nick (1797.6),Adrian L (1801.9),Maxim (1797.6) (+57.6),Adrian L (1801.9),Adrian L (1801.9),Adrian L (1801.9),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Nick (1797.6),Nick (1797.6),Nick (1797.6),Richard B (1798.4),Richard B (1798.4),Richard B (1798.4),Colin R (1801.4),Colin R (1801.4),Adrian (1809.2),Nicholas (1805.8),Adrian (1809.2),Will W (1813.5),Miriam (1819.0),Mark M (1814.3),Miriam (1819.0),Fedor (1817.6) (+36.4)
47,,,,,,,,,,,Nat (1570.2) (-11.5),Nat (1570.2),Andy R (1680.6),Andy R (1680.6),Lance (1667.0) (-29.4),Lance (1677.2) (+10.2),Marg (1689.9) (-14.3),Marg (1689.9),Perth (1695.1),Perth (1695.1),Perth (1695.1),Perth (1695.1),Marinko (1695.8),Marinko (1695.8),Chrissy (1701.4),Chrissy (1701.4),Chrissy (1701.4),Chrissy (1701.4),Alberto (1712.4),Alberto (1712.4),Jana (1721.7),Marinko (1720.1) (+42.6),Aisling (1720.9) (-73.2),Aisling (1720.9),Giles (1740.5),Jenna (1733.6),Giles (1740.5),Steph (1738.6) (-45.6),Feddy (1754.9),Colin R (1752.8),Patrick L (1762.6),Patrick L (1762.6),Etienne (1774.5),Aisling (1771.6) (-29.8),Steph (1773.7) (+8.8),Duncan (1773.8),Steffi (1779.0),Steffi (1779.0),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Jonathan (1787.5),Lukas N (1790.0) (-31.8),Jonathan (1787.5),Jonathan (1787.5),Lukas N (1790.0),Aisling (1792.5) (+20.9),Jonathan (1787.5),Pablo (1795.7),Jonathan (1787.5),Anna A (1791.7),Pablo (1795.7),Nick (1797.6),Nick (1797.6),Nick (1797.6),Nick (1797.6),Nick (1797.6),Maxim (1791.4),Colin R (1794.2) (-21.8),Maxim (1791.4),Anna A (1796.6) (+30.0),Pablo (1795.7),Pablo (1795.7),Nick (1797.6),Nick (1797.6),Nick (1797.6),Richard B (1798.4),Richard B (1798.4),Shevy (1808.1) (+31.4),Adrian L (1801.9),Will P (1809.1) (+8.9),Adrian (1809.2),Mark M (1814.3),Will W (1813.5),Will W (1813.5),Will W (1813.5)
48,,,,,,,,,,,,,Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lance (1677.2),Lance (1677.2),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Perth (1695.1),Perth (1695.1),Pablo (1698.2),Pablo (1698.2),Pablo (1698.2),Pablo (1698.2),Chrissy (1701.4),Chrissy (1701.4),Megan (1714.7),Megan (1714.7),Marinko (1720.1),Marinko (1720.1),Will P (1739.1),Alonzo (1729.2) (-48.3),Giulia (1736.3),Giulia (1736.3),Colin R (1752.8),Aisling (1747.8) (+9.2),Luka (1757.5),Dan (1762.3) (-36.2),Miriam (1774.3),Lukas N (1765.9) (-18.0),Bowen (1772.8),Bowen (1772.8),Caden (1779.0),Caden (1779.0),Rakan (1779.8),Rakan (1779.8),Caden (1780.6) (+1.5),Enrik (1787.3),Jonathan (1787.5),Enrik (1787.3),Enrik (1787.3),Jonathan (1787.5),Shevy (1788.8) (+21.4),Enrik (1787.3),Jonathan (1787.5),Enrik (1787.3),Jonathan (1787.5),Anna A (1791.7),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Jonathan (1787.5),Steph (1793.9) (+18.0),Steph (1789.9) (-3.9),Pablo (1795.7),Maxim (1791.4),Lukas N (1791.8) (-48.9),Pablo (1795.7),Pablo (1795.7),Pablo (1795.7),Nick (1797.6),Nick (1797.6),Nicholas (1805.8),Colin R (1801.4),Shevy (1808.3) (+75.4),Nicholas (1805.8),Will W (1813.5),Tom S (1810.4) (-20.7),Adrian (1809.2),Adrian (1809.2)
49,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Andy R (1659.6) (-20.9),Andy R (1623.5) (-36.1),Lucas (1662.7),Lucas (1662.7),Marg (1689.9),Marg (1689.9),Lance (1677.2),Lance (1677.2),Lucas H (1694.1),Lucas H (1694.1),Marinko (1695.8),Marinko (1695.8),Lucas H (1694.1),Lucas H (1694.1),Pablo (1698.2),Pablo (1698.2),Maiya (1714.6),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Giulia (1736.3),Jana (1721.7),Jenna (1733.6),Jenna (1733.6),Miriam (1746.5) (-25.7),Miriam (1746.5),Aisling (1747.8),Luka (1757.5),Alix S (1763.5),Steph (1764.9) (+31.0),Aisling (1771.6),Aisling (1771.6),Etienne (1774.5),Etienne (1774.5),Steffi (1779.0),Steffi (1779.0),Rakan (1779.8),Caden (1784.0) (+3.4),Enrik (1787.3),Caden (1785.4) (+14.4),Caden (1780.6) (-4.8),Enrik (1787.3),Jonathan (1787.5),Colin R (1786.4) (-19.9),Enrik (1787.3),Anna Z (1784.9) (-24.4),Enrik (1787.3),Jonathan (1787.5),Jonathan (1787.5),Jonathan (1787.5),Maxim (1790.2) (-7.5),Maxim (1791.4) (+1.2),Maxim (1791.4),Enrik (1787.3),Maxim (1791.4),Jonathan (1787.5),Maxim (1791.4),Jonathan (1787.5),Maxim (1791.4),Maxim (1791.4),Maxim (1791.4),Maxim (1791.4),Pablo (1795.7),Pablo (1795.7),Adrian L (1801.9),Will P (1800.2) (+35.2),Colin R (1807.3) (+5.9),Shevy (1802.4) (-5.9),Adrian (1809.2),Will P (1809.7) (-19.2),Nicholas (1805.8),Nicholas (1805.8)
